Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PasswordMaker\PasswordMaker.csproj,File,PasswordMaker\PasswordMaker.csproj,,,System.Text.Json 9.0.0,,,,,"System.Text.Json, 9.0.0  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.1"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,PasswordMakerAvalonia.Android\PasswordMakerAvalonia.Android.csproj,File,PasswordMakerAvalonia.Android\PasswordMakerAvalonia.Android.csproj,,,Avalonia.Android 11.2.2,,,,,"Avalonia.Android, 11.2.2  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,PasswordMakerAvalonia.Android\PasswordMakerAvalonia.Android.csproj,File,PasswordMakerAvalonia.Android\PasswordMakerAvalonia.Android.csproj,,,Xamarin.AndroidX.Core.SplashScreen 1.0.1.13,,,,,"Xamarin.AndroidX.Core.SplashScreen, 1.0.1.13  Recommendation:  No supported version found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,PasswordMakerAvalonia.Android\PasswordMakerAvalonia.Android.csproj,File,PasswordMakerAvalonia.Android\PasswordMakerAvalonia.Android.csproj,,,,,,,,Current target framework: net9.0-android Recommended target framework: net10.0-android
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PasswordMakerAvalonia.Browser\PasswordMakerAvalonia.Browser.csproj,File,PasswordMakerAvalonia.Browser\PasswordMakerAvalonia.Browser.csproj,,,Microsoft.JSInterop 9.0.0,,,,,"Microsoft.JSInterop, 9.0.0  Recommendation:  Remove Microsoft.JSInterop, and replace with new package Microsoft.JSInterop 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,PasswordMakerAvalonia.Browser\PasswordMakerAvalonia.Browser.csproj,File,PasswordMakerAvalonia.Browser\PasswordMakerAvalonia.Browser.csproj,,,,,,,,Current target framework: net9.0-browser Recommended target framework: net10.0--browser
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PasswordMakerAvalonia.Browser\PasswordMakerAvalonia.Browser.csproj,File,PasswordMakerAvalonia.Browser\AppJs.cs,11,8,T:System.Uri,,,,,string basePath = new Uri(baseAddress).AbsolutePath;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PasswordMakerAvalonia.Browser\PasswordMakerAvalonia.Browser.csproj,File,PasswordMakerAvalonia.Browser\AppJs.cs,11,8,M:System.Uri.#ctor(System.String),,,,,string basePath = new Uri(baseAddress).AbsolutePath;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PasswordMakerAvalonia.Browser\PasswordMakerAvalonia.Browser.csproj,File,PasswordMakerAvalonia.Browser\AppJs.cs,11,8,P:System.Uri.AbsolutePath,,,,,string basePath = new Uri(baseAddress).AbsolutePath;
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,PasswordMakerAvalonia\PasswordMakerAvalonia.csproj,File,PasswordMakerAvalonia\PasswordMakerAvalonia.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,PasswordMakerAvalonia.Desktop\PasswordMakerAvalonia.Desktop.csproj,File,PasswordMakerAvalonia.Desktop\PasswordMakerAvalonia.Desktop.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0-windows
